;PC Software:StarLab Version 3.80 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:22/11/2022 at 18:02:17
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:947746)  VG2.54 (s/n:858327)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:38.20mW             
;Max:122.2mW             
;Average:96.68mW             
;Std.Dev.:15.45mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 22/11/2022 at 18:02:17
  Timestamp   	  Channel A  	
         0.000	  1.029e-01 	
         0.064	  1.029e-01 	
         0.127	  1.028e-01 	
         0.192	  1.028e-01 	
         0.256	  1.027e-01 	
         0.351	  1.027e-01 	
         0.414	  1.027e-01 	
         0.479	  1.027e-01 	
         0.543	  1.027e-01 	
         0.608	  1.027e-01 	
         0.671	  1.027e-01 	
         0.735	  1.028e-01 	
         0.798	  1.028e-01 	
         0.862	  1.028e-01 	
         0.927	  1.028e-01 	
         0.991	  1.028e-01 	
         1.056	  1.029e-01 	
         1.150	  1.029e-01 	
         1.215	  1.029e-01 	
         1.280	  1.029e-01 	
         1.343	  1.029e-01 	
         1.406	  1.029e-01 	
         1.472	  1.029e-01 	
         1.535	  1.029e-01 	
         1.598	  1.029e-01 	
         1.663	  1.029e-01 	
         1.727	  1.029e-01 	
         1.791	  1.029e-01 	
         1.856	  1.029e-01 	
         1.951	  1.030e-01 	
         2.015	  1.030e-01 	
         2.078	  1.030e-01 	
         2.143	  1.030e-01 	
         2.207	  1.031e-01 	
         2.271	  1.031e-01 	
         2.335	  1.031e-01 	
         2.400	  1.031e-01 	
         2.464	  1.030e-01 	
         2.527	  1.030e-01 	
         2.592	  1.030e-01 	
         2.654	  1.031e-01 	
         2.750	  1.031e-01 	
         2.816	  1.031e-01 	
         2.880	  1.031e-01 	
         2.943	  1.032e-01 	
         3.007	  1.032e-01 	
         3.071	  1.032e-01 	
         3.135	  1.033e-01 	
         3.200	  1.033e-01 	
         3.264	  1.033e-01 	
         3.327	  1.033e-01 	
         3.392	  1.033e-01 	
         3.456	  1.033e-01 	
         3.551	  1.033e-01 	
         3.614	  1.033e-01 	
         3.679	  1.033e-01 	
         3.743	  1.033e-01 	
         3.808	  1.033e-01 	
         3.872	  1.033e-01 	
         3.934	  1.033e-01 	
         3.998	  1.033e-01 	
         4.063	  1.033e-01 	
         4.128	  1.032e-01 	
         4.190	  1.032e-01 	
         4.255	  1.032e-01 	
         4.351	  1.032e-01 	
         4.415	  1.032e-01 	
         4.479	  1.033e-01 	
         4.543	  1.033e-01 	
         4.607	  1.033e-01 	
         4.671	  1.033e-01 	
         4.735	  1.033e-01 	
         4.800	  1.033e-01 	
         4.863	  1.033e-01 	
         4.928	  1.033e-01 	
         4.991	  1.032e-01 	
         5.055	  1.031e-01 	
         5.151	  1.031e-01 	
         5.215	  1.030e-01 	
         5.278	  1.030e-01 	
         5.343	  1.030e-01 	
         5.407	  1.029e-01 	
         5.472	  1.029e-01 	
         5.535	  1.029e-01 	
         5.600	  1.029e-01 	
         5.664	  1.030e-01 	
         5.728	  1.030e-01 	
         5.792	  1.031e-01 	
         5.855	  1.031e-01 	
         5.951	  1.031e-01 	
         6.015	  1.032e-01 	
         6.079	  1.032e-01 	
         6.144	  1.033e-01 	
         6.206	  1.033e-01 	
         6.272	  1.033e-01 	
         6.335	  1.033e-01 	
         6.399	  1.033e-01 	
         6.463	  1.033e-01 	
         6.526	  1.032e-01 	
         6.592	  1.032e-01 	
         6.654	  1.031e-01 	
         6.751	  1.031e-01 	
         6.815	  1.031e-01 	
         6.880	  1.031e-01 	
         6.944	  1.031e-01 	
         7.008	  1.031e-01 	
         7.071	  1.032e-01 	
         7.136	  1.032e-01 	
         7.200	  1.032e-01 	
         7.263	  1.032e-01 	
         7.328	  1.033e-01 	
         7.391	  1.033e-01 	
         7.455	  1.034e-01 	
         7.551	  1.034e-01 	
         7.615	  1.034e-01 	
         7.680	  1.034e-01 	
         7.743	  1.034e-01 	
         7.806	  1.034e-01 	
         7.871	  1.034e-01 	
         7.934	  1.033e-01 	
         7.999	  1.033e-01 	
         8.063	  1.033e-01 	
         8.128	  1.032e-01 	
         8.191	  1.031e-01 	
         8.255	  1.031e-01 	
         8.350	  1.031e-01 	
         8.416	  1.032e-01 	
         8.479	  1.032e-01 	
         8.544	  1.033e-01 	
         8.607	  1.033e-01 	
         8.671	  1.034e-01 	
         8.735	  1.034e-01 	
         8.799	  1.034e-01 	
         8.863	  1.034e-01 	
