;PC Software:StarLab Version 3.80 Build 2
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/11/2022 at 17:06:36
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:947746)  VG2.54 (s/n:858327)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:200.5mW             
;Max:202.6mW             
;Average:201.8mW             
;Std.Dev.:557.0uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/11/2022 at 17:06:37
  Timestamp   	  Channel A  	
         0.000	  2.005e-01 	
         0.063	  2.005e-01 	
         0.127	  2.005e-01 	
         0.191	  2.006e-01 	
         0.255	  2.006e-01 	
         0.320	  2.006e-01 	
         0.383	  2.006e-01 	
         0.448	  2.006e-01 	
         0.511	  2.006e-01 	
         0.575	  2.006e-01 	
         0.639	  2.006e-01 	
         0.702	  2.006e-01 	
         0.767	  2.006e-01 	
         0.830	  2.006e-01 	
         0.895	  2.006e-01 	
         0.959	  2.006e-01 	
         1.023	  2.006e-01 	
         1.087	  2.006e-01 	
         1.183	  2.005e-01 	
         1.247	  2.005e-01 	
         1.311	  2.005e-01 	
         1.375	  2.005e-01 	
         1.439	  2.005e-01 	
         1.503	  2.005e-01 	
         1.567	  2.005e-01 	
         1.631	  2.005e-01 	
         1.696	  2.005e-01 	
         1.759	  2.005e-01 	
         1.824	  2.005e-01 	
         1.887	  2.005e-01 	
         1.951	  2.005e-01 	
         2.047	  2.005e-01 	
         2.111	  2.005e-01 	
         2.175	  2.005e-01 	
         2.240	  2.006e-01 	
         2.303	  2.006e-01 	
         2.366	  2.006e-01 	
         2.432	  2.007e-01 	
         2.495	  2.007e-01 	
         2.559	  2.008e-01 	
         2.624	  2.008e-01 	
         2.687	  2.008e-01 	
         2.750	  2.009e-01 	
         2.847	  2.009e-01 	
         2.910	  2.009e-01 	
         2.975	  2.009e-01 	
         3.040	  2.010e-01 	
         3.104	  2.010e-01 	
         3.167	  2.010e-01 	
         3.232	  2.010e-01 	
         3.294	  2.010e-01 	
         3.359	  2.011e-01 	
         3.423	  2.011e-01 	
         3.488	  2.012e-01 	
         3.552	  2.012e-01 	
         3.647	  2.013e-01 	
         3.711	  2.013e-01 	
         3.775	  2.014e-01 	
         3.840	  2.014e-01 	
         3.904	  2.015e-01 	
         3.966	  2.015e-01 	
         4.032	  2.015e-01 	
         4.095	  2.015e-01 	
         4.159	  2.015e-01 	
         4.223	  2.016e-01 	
         4.288	  2.016e-01 	
         4.351	  2.016e-01 	
         4.447	  2.016e-01 	
         4.511	  2.015e-01 	
         4.575	  2.016e-01 	
         4.639	  2.016e-01 	
         4.703	  2.016e-01 	
         4.767	  2.016e-01 	
         4.831	  2.016e-01 	
         4.895	  2.016e-01 	
         4.959	  2.016e-01 	
         5.031	  2.016e-01 	
         5.087	  2.016e-01 	
         5.152	  2.016e-01 	
         5.247	  2.016e-01 	
         5.311	  2.016e-01 	
         5.375	  2.016e-01 	
         5.439	  2.016e-01 	
         5.503	  2.016e-01 	
         5.567	  2.016e-01 	
         5.632	  2.016e-01 	
         5.695	  2.016e-01 	
         5.759	  2.015e-01 	
         5.824	  2.015e-01 	
         5.888	  2.015e-01 	
         5.951	  2.015e-01 	
         6.047	  2.014e-01 	
         6.111	  2.014e-01 	
         6.175	  2.014e-01 	
         6.239	  2.014e-01 	
         6.303	  2.014e-01 	
         6.367	  2.014e-01 	
         6.431	  2.014e-01 	
         6.495	  2.014e-01 	
         6.559	  2.014e-01 	
         6.622	  2.015e-01 	
         6.686	  2.015e-01 	
         6.751	  2.015e-01 	
         6.847	  2.015e-01 	
         6.911	  2.015e-01 	
         6.975	  2.016e-01 	
         7.039	  2.016e-01 	
         7.103	  2.016e-01 	
         7.167	  2.016e-01 	
         7.232	  2.016e-01 	
         7.295	  2.016e-01 	
         7.359	  2.016e-01 	
         7.423	  2.016e-01 	
         7.488	  2.016e-01 	
         7.551	  2.015e-01 	
         7.647	  2.015e-01 	
         7.711	  2.015e-01 	
         7.775	  2.015e-01 	
         7.839	  2.015e-01 	
         7.903	  2.015e-01 	
         7.968	  2.015e-01 	
         8.030	  2.016e-01 	
         8.095	  2.016e-01 	
         8.159	  2.016e-01 	
         8.223	  2.016e-01 	
         8.287	  2.017e-01 	
         8.351	  2.017e-01 	
         8.447	  2.017e-01 	
         8.511	  2.017e-01 	
         8.575	  2.017e-01 	
         8.639	  2.017e-01 	
         8.703	  2.017e-01 	
         8.767	  2.017e-01 	
         8.831	  2.018e-01 	
         8.895	  2.018e-01 	
         8.959	  2.018e-01 	
         9.023	  2.018e-01 	
         9.087	  2.018e-01 	
         9.151	  2.018e-01 	
         9.247	  2.018e-01 	
         9.311	  2.019e-01 	
         9.375	  2.019e-01 	
         9.440	  2.019e-01 	
         9.503	  2.019e-01 	
         9.567	  2.019e-01 	
         9.631	  2.020e-01 	
         9.695	  2.020e-01 	
         9.759	  2.020e-01 	
         9.823	  2.020e-01 	
         9.887	  2.020e-01 	
         9.952	  2.020e-01 	
        10.047	  2.020e-01 	
        10.111	  2.020e-01 	
        10.175	  2.021e-01 	
        10.240	  2.021e-01 	
        10.303	  2.021e-01 	
        10.368	  2.021e-01 	
        10.431	  2.021e-01 	
        10.495	  2.021e-01 	
        10.559	  2.021e-01 	
        10.623	  2.021e-01 	
        10.687	  2.021e-01 	
        10.751	  2.021e-01 	
        10.847	  2.021e-01 	
        10.911	  2.021e-01 	
        10.975	  2.021e-01 	
        11.039	  2.021e-01 	
        11.103	  2.021e-01 	
        11.167	  2.021e-01 	
        11.232	  2.022e-01 	
        11.295	  2.022e-01 	
        11.359	  2.022e-01 	
        11.423	  2.022e-01 	
        11.488	  2.022e-01 	
        11.551	  2.022e-01 	
        11.647	  2.022e-01 	
        11.711	  2.022e-01 	
        11.775	  2.022e-01 	
        11.840	  2.022e-01 	
        11.903	  2.022e-01 	
        11.967	  2.022e-01 	
        12.031	  2.022e-01 	
        12.095	  2.022e-01 	
        12.159	  2.022e-01 	
        12.223	  2.022e-01 	
        12.287	  2.022e-01 	
        12.352	  2.022e-01 	
        12.447	  2.022e-01 	
        12.511	  2.022e-01 	
        12.575	  2.021e-01 	
        12.639	  2.021e-01 	
        12.703	  2.021e-01 	
        12.767	  2.021e-01 	
        12.832	  2.021e-01 	
        12.895	  2.021e-01 	
        12.959	  2.021e-01 	
        13.023	  2.021e-01 	
        13.088	  2.021e-01 	
        13.151	  2.021e-01 	
        13.246	  2.021e-01 	
        13.311	  2.022e-01 	
        13.375	  2.022e-01 	
        13.439	  2.022e-01 	
        13.503	  2.022e-01 	
        13.568	  2.022e-01 	
        13.631	  2.022e-01 	
        13.695	  2.022e-01 	
        13.759	  2.022e-01 	
        13.823	  2.022e-01 	
        13.888	  2.022e-01 	
        13.951	  2.022e-01 	
        14.046	  2.022e-01 	
        14.111	  2.022e-01 	
        14.175	  2.022e-01 	
        14.239	  2.022e-01 	
        14.303	  2.022e-01 	
        14.368	  2.021e-01 	
        14.431	  2.021e-01 	
        14.495	  2.022e-01 	
        14.559	  2.022e-01 	
        14.623	  2.022e-01 	
        14.687	  2.022e-01 	
        14.752	  2.022e-01 	
        14.847	  2.022e-01 	
        14.911	  2.022e-01 	
        14.975	  2.022e-01 	
        15.039	  2.022e-01 	
